Text,Class
"Japan economy slides to recession  The Japanese economy has officially gone back into recession for the fourth time in a decade.  Gross domestic product fell by 0.1% in the last three months of 2004. The fall reflects weak exports and a slowdown in consumer spending, and follows similar falls in GDP in the two previous quarters. The Tokyo stock market fell after the figures were announced, but rose again on a widespread perception that the economy will recover later this year. On Wednesday, the government revised growth figures from earlier in 2004 which, when taking into account performance in the most recent period, effectively tips Japan into recession.  A previous estimate of 0.1% growth between July and September was downgraded to a 0.3% decline. A recession is commonly defined as two consecutive quarters of negative growth, although the Japanese government takes other factors into account when judging the status of its economy.  Figures released by the government's Cabinet Office showed that GDP, on an annualised basis, fell 0.5% in the last three months of 2004. However, politicians remain upbeat about prospects for an economic boost later in the year. ""The economy has some soft patches but if you look at the bigger picture, it is in a recovery stage,"" said Economic and Fiscal Policy Minister Heizo Takenaka. Gross domestic product measures the overall value of goods and services produced in a country. ""The economy must be assessed comprehensively and we cannot look at GDP alone,"" Mr Takenaka stressed.  Ministers pointed to the fact that consumer spending had been depressed by one-off factors such as the unseasonably mild winter. Analysts said the figures were disappointing but argued that Japan's largest companies had been recording healthy profits and capital spending was on the rise. Japan's economy grew 2.6% overall last year - fuelled by a strong performance in the first few months - and is forecast to see growth of 2.1% in 2005. However, the economy's fragile recovery remains dependent on an upturn in consumer spending, a fall in the value of the yen and an improvement in global economies. ""The results came in at the lower end of expectations but we shouldn't be too pessimistic about the current state and the outlook for the economy,"" said Naoki Iizuka, senior economist at the Dai-ichi Life Research Institute. Japan's economy has seen stretches of moderate growth over the past decade but has periodically slipped back into recession. ",business
"Kennedy calls for Iraq exit plans  Tony Blair should set out a proper exit strategy from Iraq in the wake of next Sunday's elections in the country, Lib Dem leader Charles Kennedy has said.  In a speech focusing on issues arising from the re-election of George W Bush, Mr Kennedy said Iraq had become a ""crucible of militant terrorism"". He wants to see a phased withdrawal of UK troops ""as soon as the situation allows"", he said in London. Any exit strategy must ""augment and support"" the democratic process.  ""There are some who are of the opinion that the mere presence of British and American troops in Iraq feeds the insurgency,"" he said. ""There is some truth in that, especially after the initial mistakes that were made - the heavy-handedness of operations like Fallujah, and the well-publicised instances of abuse at the hands of coalition forces."" Mr Kennedy pointed out that the Netherlands, Portugal and the Czech Republic, which all have troops operating in the southern sector of Iraq, have announced their imminent withdrawal ""regardless of the situation on the ground"".  He accused Mr Blair's government of ""being less than straightforward"" over its plans. ""Next week the prime minister should make a statement regarding the elections in Iraq,"" Mr Kennedy said during his City of London speech. ""He should set out a proper exit strategy, including the phased withdrawal of British troops, as the security situation allows."" Mr Kennedy also argued that British troops deployed in Iraq should be replaced with forces from other countries - ""especially Islamic countries"". ",politics
"Business confidence dips in Japan  Business confidence among Japanese manufacturers has weakened for the first time since March 2003, the quarterly Tankan survey has found.  Slower economic growth, rising oil prices, a stronger yen and weaker exports were blamed for the fall. December's confidence level was below that seen in September, the Bank of Japan said. However, September's reading was the strongest for 13 years. ""The economy is at a pause but unlikely to fall"", the economy minister said. ""It will feel a bit slower (next year) than this year, and growth may be a bit more gentle but the situation is that the recovery will continue,"" said economy minister Heizo Takenaka. In the Bank of Japan's December survey, the balance of big manufacturers saying business conditions are better, minus those saying they are worse, was 22, down from 26 in September.  Japan's economy grew by just 0.1% in the three months to September, according revised data issued this month. With the recovery slowing, the world's second biggest economy is now expected grow by 0.2% in 2004. The Tankan index is based on a survey of 10,227 firms. Big manufacturers were even more pessimistic about the first quarter of 2005; their views suggest the March reading could go as low as 15 - still in positive territory, but weaker. The dollar's decline has strengthened the yen, making Japanese exports more expensive in the US. China's attempts to cool down its fast-growing economy have also hit Japanese industry's sales abroad. Confidence among non-manufacturers was unchanged in the final quarter of 2004, but it is forecast to drop one point in the March survey. Nonetheless, Japanese firms have been stepping up capital investment, and the survey found the pace is quickening. Companies reported they expect to invest 7.7% more in the year to March 2005 than the previous year - up from expectations of 6.1% increase in the September Tankan. ",business
"Keanu Reeves given Hollywood star  Actor Keanu Reeves, best known for his role in the Matrix movies, has been awarded a star on the prestigious Hollywood Walk of Fame.  The 40-year-old attended the unveiling of the star with his mother, Patricia, and thanked her for inspiring him to become an actor. ""When I was 15 years old I asked my mom if it was OK to be an actor,"" Reeves said. ""She said: 'Whatever you want'."" His star is the 2,277th to be embedded in the pavement on Hollywood Boulevard.  The actor, who was born in the Lebanese capital Beirut, also spoke of how he dropped out of school to pursue an acting career. ""Hollywood was calling,"" he said, ""So I got in my car, a 1969 British racing green Volvo with holes in the floor and bricks holding up the seats. I was a young man full of hopes and dreams."" Reeves first found fame in the teen comedy Bill and Ted's Excellent Adventure, and went on to combine such blockbusters as Speed, The Devil's Advocate and the Matrix series, with smaller films including My Own Private Idaho. More recently he was seen in Something's Gotta Give alongside Jack Nicholson and Diane Keaton. His next film, the supernatural thriller Constantine, is released in the US later this month and opens in the UK in March. ",entertainment
"Guantanamo pair's passport ban  The government has written to two of the British men freed from Guantanamo Bay telling them they will not be allowed passports.  A letter sent to Martin Mubanga said his British passport would not be issued in the light of evidence gathered against him by the US. This suggested he was likely to take part in action against UK or allied targets if he left Britain, it said. An identical letter has been sent to Feroz Abbasi, the men's solicitor says.  It is not known whether the other two men released from the Cuba detention camp in January - Richard Belmar and Moazzam Begg - have also received letters. The government is implementing the rarely used Royal Prerogative in order to withdraw the men's passports. It is only the 13th time the power has been used since 1947 - the last time was in 1976. The letter, from the Home Office, says: ""I am writing to inform you that on the basis of the information which has come to light during your detention by the United States, the home secretary considered that there are strong grounds for believing that, on leaving the United Kingdom, you would take part in activities against the United Kingdom, or allied targets.""  The Home Office said it could not comment on individual cases.  The Liberal Democrats say they suspect the move is part of a package of security measures agreed with the US in order for the men to be allowed home from Guantanamo Bay.  Home Affairs spokesman Mark Oaten also demanded assurances that the evidence against the men was not gained under torture. He added: ""The power should only be used in absolute extreme circumstances and I find it hard to believe that these conditions have been met this time."" He said the move also raised complex questions about the use of the Royal Prerogative. The Liberal Democrats have promised to raise the issue in Parliament.  Amnesty International UK also questioned whether the decisions had been based on ""torture evidence"" obtained at Guantanamo Bay. ""Furthermore, we believe there should be an investigation into the role played by the UK in the detention of UK residents and nationals and possibly many others at Guantanamo Bay,"" said director Kate Allen. The men's solicitor, Louise Christian, has raised questions about whether the evidence was gathered through torture. But the Pentagon told BBC News US policy ""condemns and prohibits"" torture and said there was no evidence that any British detainee was tortured or abused. Mr Abbasi, 23, from Croydon, south London, was taken to Guantanamo Bay after being captured in Afghanistan in 2001. Mr Mubanga, 29, from north London, was originally detained in Zambia. ",politics
"Rocker Doherty in on-stage fight  Rock singer Pete Doherty has been involved in a fight with his band's guitarist at their biggest gig to date.  Babyshambles played for 5,000 fans at London's Brixton Academy on Tuesday. The former Libertines singer traded blows with guitarist Patrick Walden. They were separated and bundled off stage before returning to end the set. The show was earlier held up due to audience overcrowding. On Monday Doherty faced blackmail and robbery charges in court, which he denies. He is out on £50,000 bail and the judge agreed to extend his 2200 GMT curfew deadline by two hours so he could play the Brixton gig.  Babyshambles, which he formed after his acrimonious departure from the Libertines, played a warm-up show at The Garage, north London, on Monday. On Tuesday, Doherty and his three bandmates were introduced to the crowd by Mick Jones, the former Clash guitarist who produced the Libertines' second album. Babyshambles took the stage to a frenzied reception at 2200 GMT, launching into their last single, Killamangiro, which reached number eight in December. But the group had to stop during the next song to persuade fans not to push forward and allow security guards to pull people out of the crush. Doherty appealed to fans to calm down, saying: ""There's a few people getting hurt down the front, you've got to move back.""  The music resumed minutes later but after several more songs, the singer appeared to accidentally disconnect Walden's guitar, leading the pair to trade kicks and punches. Bouncers stepped in and the band left the stage, but returned after five minutes and finished their 50-minute performance with no further trouble. Doherty, 25, had to be home by midnight to observe the curfew, which is one of the conditions of his bail. On Monday, the judge agreed to allow him to perform on condition that requests for changes to his bail terms were ""not too regular an occurrence"". The singer was arrested with fellow musician Alan Wass on 2 February after an alleged dispute with documentary-maker Max Carlish at a London hotel. They are next due in court on 18 April. ",entertainment
"London Irish 19-33 Wasps  Wasps made light of the absence of several internationals to sink London Irish with a trio of second-half tries.  Rob Hoadley returned to haunt his old club at the Madejski Stadium, scoring the opening try in the 43rd minute. Tom Voyce powered through the Irish defence for Wasps' second try before Richard Birkett went over unchallenged. Mark van Gisbergen added 18 points. Irish replied with three penalties and a Mark Mapletoft drop goal before Scott Staniforth ran in a consolation try. Barry Everitt, who replaced Mapletoft late in the game, added the conversion to become the fourth Premiership player to reach 1,000 points. He joins Jonny Wilkinson, Tim Stimpson and Paul Grayson in achieving that target. Wasps piled on the pressure in an attempt to grab a fourth try which would have secured them a bonus point, but they were denied by some desperate defending from Irish. Director of rugby Warren Gatland revealed that harsh words at half-time inspired his Wasps side to raise their game after the restart.  ""They got a roasting and it was a good second-half performance when they came out and played to instructions,"" he said. Gatland also singled out stand-in flankers Tom Rees and John Hart for special praise. ""They did very well. The back row played some fantastic rugby,"" he added. London Irish coach Gary Gold felt the result exposed his side's lack of consistency.  Irish trailed by just two points at the break and Gold said: ""For 55 minutes we lived with the best but we have got to get back for the full 80 minutes."" Gold will now turn his attention to next week's Powergen Cup semi-final at struggling Leeds. ""We've got a good chance but with Leeds facing possible relegation they're going to come out firing,"" he added.  Horak, Staniforth, Penney, Nordt, Bishop; Mapletoft, Edwards; Hatley, van der Walt, Hardwick; Kennedy, Casey; Gustard, Dawson, Murphy.  Replacements: Everitt for Mapletoft (53), Hodgson for Edwards (77), Wheatley for Hatley (71), Paice for van der Walt (60), Strudwick for Kennedy (60), Danaher for Gustard (66), Reid for Murphy (47)  Van Gisbergen; Voyce, Erinle, Hoadley, Roberts; King, Richards; Payne, Greening, Dowd; Shaw, Purdy; Hart, Rees, Dallaglio.  Replacements: Priscott for Roberts (71), Green for Dowd (71), Skivington for Shaw (71), Birkett for Hart (57), Gotting for Rees (39). Not used: Fury, Brooks ",sport
"Taylor poised for Scotland return  Simon Taylor has been named in the Scotland squad for Saturday's Six Nations clash with Italy.  The 25-year-old number eight made a scoring return for Edinburgh at the weekend - his first game in a year for the capital side. Taylor suffered knee ligament damage playing against Ireland in Dublin in the 2004 Six Nations championship. ""Simon is one of Scotland's truly world class players so it is a huge bonus,"" said team-mate Chris Paterson. ""He brings a whole new dimension to us, especially in defence and his ability to slow the opposition ball down could be key against Italy if he is involved."" Taylor has turned out for English side Saracens in recent weeks during a short-term loan to improve his fitness.  Edinburgh were not in action during the first two weeks of this season's Six Nations. So Taylor played the last 20 minutes of Saracens' win over Northampton and then 40 minutes in a friendly against South African Super 12 side The Cats. Scotland coach Matt Williams is due to name his match-day 22 on Thursday. Both Scotland and Italy have lost their opening two Six Nations games and, just like last season's encounter which Italy won, this weekend's game could turn out to be a battle to avoid the wooden spoon.  - M Blair (Edinburgh), A Craig (Glasgow), C Cusiter (Borders), S Danielli (Borders), M Di Rollo (Edinburgh), A Henderson (Glasgow), B Hinshelwood (Worcester), R Lamont (Glasgow), S Lamont (Glasgow), D Parks (Glasgow), C Paterson (Edinburgh), G Ross (Leeds), H Southwell (Edinburgh), S Webster (Edinburgh)  - R Beattie (Northampton), G Bulloch (Glasgow, capt), B Douglas (Borders), J Dunbar (Leeds), I Fullarton (Saracens), S Grimes (Newcastle), N Hines (Edinburgh), A Hogg (Edinburgh), G Kerr (Leeds), N Lloyd (Saracens), S Murray (Edinburgh), J Petrie (Glasgow), R Russell (London Irish), C Smith (Edinburgh), T Smith (Northampton), S Taylor (Edinburgh), J White (Sale). ",sport
"Big guns ease through in San Jose  Top-seeded Americans Andy Roddick and Andre Agassi survived minor scares to reach the last eight of the SAP Open.  Agassi endured early problems against left-handed Dane Kenneth Carlsen before sealing a 7-5 6-1 victory. And world number three Roddick dropped a set to Korean player Hyung-Taik Lee, before pulling out a 6-3 3-6 6-2 win in San Jose, California. Seventh seed Jurgen Melzer came through 6-3 6-3 against Xavier Malisse - winner in Delray Beach last week. Frenchman Cyril Saulnier, meanwhile, fired 19 aces to secure a 6-1 7-6 win over Czech qualifier Tomas Zib.  Roddick broke a racket in frustration in the third game of the second set. and afterwards was unimpressed with his form. ""I'm not playing great,"" he said. ""But I'm through and I'm going to keep battling. ""A lot of people are under the assumption that it's easy to play well every week and it's not."" It is the 12th time in 13 appearances at the event that Agassi, now 34, has progressed to the quarter-final stage. He came from 0-40 down in the opening game to hold serve and gradually wore Carlsen down after attacking his backhand. Agassi also employed several lobs and charged to the net to unsettle the 31-year-old Dane, ranked 88th in the world. ""As the match went on, I got real patient and waited for my opportunities and felt pretty good,"" said Agassi. ",sport
"At a glance: Tory health checks  The UK' opposition Conservatives have unveiled plans to introduce health checks for immigrants if they win the General Election. Here's a guide to the plan:  People coming to live and work in Britain from outside the EU. If they plan to stay six months or more and are from a country with lots of TB, they would have to have a chest x-ray and further tests if appropriate. All people from outside the European Union who want to stay a year or more will have to undergo a full medical.  Tuberculosis, Hepatitis B and HIV. A positive test for TB would automatically mean visa applications being turned down. All other conditions would be dealt with on a case by case basis.  People would have to prove they have an acceptable standard of health and are unlikely to be a danger to public health in the UK, or impose significant costs or demands on the NHS. They would also, if appropriate, have to be able to undertake the work or study they applied to come here for.  People coming to Britain for less than six months would not be medically tested unless they intended to work in health care, childcare or teaching. Children and pregnant women wanting to live in Britain permanently would not have to have a chest X-ray for TB. Under 16s would not face tests for hepatitis and HIV.  The Tories say people fleeing persecution will not be denied sanctuary in Britain because of poor health. However, they will undergo health checks to ensure they receive the right medical treatment and do not spread infectious diseases.  They claim government figures show that TB in England has increased by 25% over the last 10 years and that nearly two-thirds of people with the disease were born overseas. They also believe there should be stricter controls over who comes into Britain to ensure they are not a public health risk. They say the plans will protect access to the NHS.  Applicants will be tested in their home country. Only asylum seekers will be tested in the UK once their refugee status is established.  Home Office Minister Des Browne says the Government already routinely checks people for TB if they come into the UK for six months or more from high-risk countries. Recent medical checks were carried out on 175,000 people at Heathrow Airport and 10,000 at Gatwick. From those tests, about 100 infectious cases of TB were found.  The Tories say 47 other countries across the world impose requirements of this kind. The party has looked at the way the system is operated in Australia, Canada and New Zealand. The Tory proposals are ""quite closely modelled"" on the New Zealand system.  Labour claims the policy is little more than a ""desperate attempt to catch up with Labour's five-year plan"" for immigration and asylum, which was published last week. This says health screening for TB will be targeted on applicants from high-risk areas before they are given entry clearance. Those who are diagnosed with the disease would then need to seek treatment at home before being allowed to enter the UK. The Liberal Democrats have warned Labour and the Tories they were ""in danger of pandering to prejudice rather than challenging it"". ",politics
"Spears seeks aborted tour payment  Singer Britney Spears is suing eight insurance companies that have refused to reimburse her for cancelling her 2004 world tour.  The pop star cancelled her Onyx Hotel tour last June after suffering a knee injury during a video shoot. She is now seeking to be reimbursed for the tour's £5m ($9.3m) costs in a claim filed at New York State Supreme Court. Seven London-based companies and an eighth Paris firm have been given up to 30 days to respond to the complaint.  The 22-year-old star initially missed a number of shows on the 82-date tour after injuring her knee during a show in Illinois last March. But she was rushed to hospital and needed surgery after a later incident while filming a video for her song Outrageous, leading her to cancel the rest of the tour, including dates in China. ""She obviously took a wrong step and blew out her knee,"" a Jive spokeswoman said at the time. ""It was an old dance injury."" The legal submission described Spears as ""one of the most recognised performers in her industry"". The Onyx Hotel tour was cited as ""a highly crafted production which included the well-known music and dancing of Spears, supported by elaborate costumes, complex choreography as well as cutting-edge video production, lighting and other effects"". In September Spears married Kevin Federline, who had been a dancer on the aborted tour. ",entertainment
